ID,Group,Feature_1,Feature_2,Feature_3
ID582,C,2819.4760968355745,379.0153700755906,-2452.6970295522137
ID585,B,2787.5808185524847,406.0350038228975,5573.064529395798
ID385,C,2345.8362930187595,399.3123547357429,-1941.169956000844
ID229,C,2082.0239468904474,424.0258012568787,-1660.4405264283623
ID520,B,2731.2959240307514,407.1134099424512,5471.70801574571
ID525,C,2149.2499405709254,414.9567381007579,-1712.10659559362
ID482,A,2959.960794436901,385.72699072672395,6957.1742818509
ID457,C,2586.6091699468584,404.27098358589046,-2181.1529729327476
ID646,B,2715.4696695337725,391.2788463378015,5442.807760883088
ID641,A,2395.841762613331,399.56919333372457,5198.302003794563
ID869,C,2641.8331911621426,406.5794309806111,-2228.0743933893345
ID218,C,2162.194372662365,392.76881218072106,-1786.4307077258482
ID469,C,2034.8298917895468,397.22079329713426,-1607.5484228011742
ID415,C,3018.226913485299,391.5133000312344,-2630.8407838849394
ID754,C,2448.2759175253736,391.55891482110053,-2062.0737842720628
ID205,B,2250.6505461502047,395.36744370528424,4505.201087112188
ID191,B,2611.6107583587086,375.5873873516507,5207.973553908611
ID859,B,2296.9375966095067,402.33152638972865,4613.986224339759
ID474,B,1984.2348807190192,393.23242513138644,3991.137114818989
ID308,A,2277.665291056081,397.3718400830669,4856.788898935046
ID982,C,2618.015820436511,396.60391963975314,-2235.471435030707
ID813,A,3031.145496932786,406.1646200056051,7063.981732974929
ID367,A,2483.545273573947,421.9355471790364,5330.515334179631
ID177,C,2302.2572990735152,402.23761545178223,-1900.555899054931
ID750,C,2033.1064028165868,388.3891766342289,-1651.7573768028294
ID181,A,2486.6425903407066,397.39581661666256,5480.506010397164
ID822,A,2705.2619857987747,416.23672681838264,6044.272838295849
ID266,A,2212.7331050382377,390.9936401748856,4676.556628105574
ID363,B,1940.657751824371,416.3026673677127,3881.5576900915535
ID143,B,2635.390154940722,378.27897900079273,5263.740928508545
ID331,B,2481.405965871046,413.90021868464197,4946.491162875942
ID123,C,2871.6609709946724,387.17852959522435,-2474.7196240254707
ID129,C,2712.5992791730455,404.8634868806665,-2301.8759444925886
ID539,A,2105.6996850107043,391.6389728308311,4363.6493865978755
ID387,B,2036.9338158857877,403.0446399753967,4083.061539152703
ID801,B,2660.105683184247,370.8587144612454,5344.205203300945
ID453,B,3116.7388200674627,397.0683617668413,6239.686814708035
ID959,A,2634.5455401182535,414.87841354942793,5820.165928915607
ID955,C,2432.663772331761,417.4483076407265,-2001.158894557064
ID136,B,2527.962277720231,390.5592412311709,5041.374668293464
ID676,C,2715.6854043953226,399.0774299085982,-2321.40328265207
ID487,B,2697.9511774542893,380.06214313518916,5391.998274645127
ID864,A,2479.8951529334026,410.84643087045254,5392.619767727584
ID224,C,2752.6021473558144,421.7400158157016,-2330.383324437716
ID745,A,2464.6421044423855,418.6159603393166,5291.757351980512
ID243,B,2344.0377927348827,405.49821805243715,4708.457367849284
ID731,C,2464.850672522791,412.3457699697332,-2057.7212279459
ID943,B,3219.772509680427,407.74019016128324,6445.742554655432
ID471,B,2219.140505431152,393.31509836450215,4436.44237612669
ID437,C,2430.924546796924,405.78469919749836,-2030.5643023194218
ID207,C,2156.5270648580085,398.9683103879995,-1748.229847193581
ID489,B,2632.5059089769475,395.3532694155565,5263.045387602105
ID134,A,2251.8802553594783,406.2618244955537,4715.014012987003
ID409,C,2343.093374096013,384.8646008602422,-1972.9828854778889
ID172,A,2605.506604389016,392.34816130189165,5859.848226184776
ID105,C,2561.5648607921507,390.3531371226202,-2154.2564195331784
ID326,A,2540.194376864763,405.03459115313086,5606.423793893513
ID208,A,2598.7664482751684,397.4196106789416,5806.996348384119
ID361,B,2521.732874486638,431.1759498985123,5050.536230757906
ID159,A,2539.6619337851716,403.2745822581186,5614.907926943471
ID183,B,2109.1990237085106,405.554933165888,4228.897581911745
ID624,C,2800.526160629518,387.3045993596387,-2408.7754489282515
ID498,A,2762.3358272885075,420.89570111626193,6163.072798642178
ID863,A,2201.429846952126,403.5555108447745,4587.153353896478
ID692,B,2545.6923776489407,420.62809111927,5086.32452323852
ID255,B,2881.3708892986083,413.0144430533796,5775.34967336549
ID394,B,2439.015473551813,417.4869785443952,4875.94839947369
ID444,C,2515.276379398041,403.87081461593016,-2116.729145891197
ID847,B,2692.7317446043803,410.69972679546396,5377.897847945893
ID686,B,2679.9982637164776,394.45094119638316,5348.187950938862
ID176,A,2259.865652255355,387.6174816291454,4839.625300122698
ID890,C,2642.433520274336,412.60199466778954,-2211.4340413196755
ID860,A,2657.3361748740576,414.84180696952575,5908.726323860715
ID674,A,2335.43725885254,415.48640990964066,4923.948328901049
ID397,B,2279.055170104235,392.8805247024881,4553.283080347867
ID246,A,2892.390397722691,386.83621550725854,6741.560714854468
ID790,A,2506.6863153261515,397.8823577250501,5523.918525388781
ID694,C,2609.725077337905,421.5109225295198,-2191.630853527654
ID285,A,2222.0365677207833,406.70483011713395,4653.726718959313
ID914,A,2594.1734309286235,383.8380513931222,5875.446334641217
ID158,A,2160.09127194055,397.0245391272342,4503.294733738907
ID379,A,2399.551813088496,389.32120156321884,5261.378669804106
ID505,B,2345.0148538121807,398.3770576008783,4706.825668572879
ID875,B,2331.390987907702,414.49876358089193,4664.533898910596
ID949,A,2264.033814032738,401.52292761379135,4809.928215873198
ID163,A,1958.5286347518463,414.03070064126155,3815.6705855417586
ID991,C,2447.9910723192943,405.1211630923148,-2050.0403703156057
ID612,B,2704.884088294561,395.246719828525,5408.425977326534
ID830,A,2984.2103468095847,405.96266704927945,6913.033258395877
ID784,C,2560.3555828168232,400.72229864201546,-2157.860381884134
ID541,B,2248.7747742406123,403.44653975299764,4489.085338895992
ID510,A,2408.7386188932132,392.0211551248867,5275.474579228411
ID783,A,3000.9821383398503,394.57055945293985,7017.665258541795
ID327,B,2199.938025102463,358.5619027286239,4409.906350527565
ID388,B,2958.3613901005906,426.28282084358386,5944.772559657847
ID359,A,2573.5467032237448,401.2084186184346,5725.639566800664
ID548,B,2627.5092561166534,422.5430023900972,5256.683000873744
ID618,C,2302.9999564845866,378.9851250629261,-1917.3631452299203
ID806,A,3129.263376876178,416.5769724245417,7291.64281717036
ID351,B,2481.861557438769,383.14741598502627,4970.090420229973
ID992,C,2449.4178822709764,418.3682973969096,-2033.4329730393815
ID336,B,2690.2512597844707,422.37584981691913,5387.119056443106
ID393,A,2019.7852323414575,392.4576164456135,4101.497888980167
ID556,B,2042.187799978768,385.83682946800224,4093.5166371014134
ID655,B,2833.9615461475996,394.309590977684,5667.710107551815
ID418,A,2878.268854619824,375.44885801820254,6738.414875220166
ID314,A,2492.671771432272,397.34601501036116,5474.631826261409
ID889,A,1883.1508234332186,424.5723529478402,3530.5176866594106
ID677,B,2417.874490294117,395.09444231414,4816.299502224487
ID324,B,1990.1760871041383,403.4290353220701,3977.6494585729147
ID873,C,2928.8645086247266,426.63322958517927,-2491.7872193712983
ID844,B,2377.1416584454846,366.63381246183263,4742.200052187485
ID221,B,2727.810866037695,420.9155424853734,5437.987127553829
ID312,C,2111.8669415027525,426.6822526266328,-1678.7139379065386
ID811,A,2761.305523757883,385.12705296986064,6346.633879917999
ID937,B,2673.2780293209235,371.5728519391249,5341.879786506271
ID401,C,2591.628076692001,403.2193002276154,-2194.826145050687
ID758,B,3046.560899981198,396.3874802417588,6095.856542417156
ID216,A,2992.4271898194474,386.1344841616973,7042.007764664712
ID812,A,2004.309444549211,399.69038308923206,4017.4325039768883
ID559,B,2377.3602069474364,387.5972689755887,4723.386931029673
ID502,C,2423.8658567258026,393.4083728820187,-2042.585408062885
ID928,A,2230.5453054642007,404.3378505365269,4668.419354661963
ID730,A,2787.904358370601,404.7696735619342,6343.61243261912
ID905,B,2001.8120868650872,400.5368095919691,4017.7659651886343
ID493,A,2420.9254177742305,415.5155765146424,5197.961761318924
ID225,B,2205.9957600379284,392.39610487439165,4426.742780662552
ID714,A,2050.178742591439,418.4298850361577,4045.4609789042493
ID421,C,2851.7643859815134,383.80525145366636,-2486.8993028006234
ID402,A,2791.867814127205,377.445024125271,6507.810107651493
ID509,A,1735.99780509111,397.4896032557685,3229.3388036670935
ID804,B,2609.26335055489,397.24166686274566,5183.944400486069
ID433,B,2139.715064659823,384.9538997962167,4285.747414376375
ID364,A,2993.0644127194205,395.60922539986774,6975.623057763434
ID492,B,2575.705750719679,387.54092754016386,5142.688307164829
ID723,A,2989.3443109357927,395.9274630294128,6974.06778975868
ID755,C,2427.5399493591904,412.3837409691497,-2026.5538413966285
ID958,B,2549.1120828061503,416.82338198297657,5092.324440213018
ID132,A,2323.292414662948,407.38018767623413,4936.969912825582
ID592,C,2624.8839245554327,411.38503938769867,-2216.754974961748
ID708,C,2628.6703289366274,393.36754218778117,-2220.7672870011056
ID186,C,2853.1799199357592,419.2726702637076,-2416.6813069403665
ID169,A,2394.1047028028374,412.0189058604885,5113.7488459925
ID823,C,2938.1303022107973,415.37794216849164,-2525.2177258834436
ID691,A,3115.457528768718,401.6724970598345,7331.471768425249
ID710,B,1973.0996821675728,394.98189180860896,3955.5344406371282
ID896,B,2383.362993730744,385.36903647638354,4774.948328843749
ID872,C,2437.327094591811,397.56460164701593,-2065.4510129321493
ID267,B,2131.940684830029,389.4616348269782,4243.922208429987
ID342,C,2479.6808595296366,386.34243510489677,-2084.075195073873
ID743,A,2568.9775153395835,404.5412424971266,5688.505605218611
ID900,B,2326.4355815321464,416.3029218155144,4657.887112191097
ID345,B,2746.0528348467897,406.3058504598684,5490.18143037887
ID369,B,2267.4119557380095,415.9639075642486,4545.871568081988
ID440,A,2098.3205239515564,391.34056277434956,4347.443094250885
ID805,B,2406.891796650759,396.0049048257498,4825.114568279942
ID765,A,2508.6018591448774,426.49242902354115,5399.202303023228
ID272,A,2840.2424318435565,390.0437291700411,6581.09016910925
ID597,A,2387.2971903300972,397.7638918343568,5168.391567826
ID226,C,2496.565925555544,399.7808543029598,-2100.9772346537766
ID614,C,2582.2061020086467,395.4402331626294,-2184.3566622409207
ID951,A,2318.811916885242,404.51067769011706,4912.622566413134
ID572,B,2672.9712753559215,390.8523377967229,5348.993344365654
ID276,B,2441.5314765638927,394.2743645683693,4900.574628712932
ID519,C,2560.9110181804167,403.3462437083652,-2137.968773462404
ID407,C,2347.8541916032536,403.6668874950843,-1943.1656754993598
ID636,B,3389.891403338077,399.4584312028679,6784.550066019171
ID721,A,1707.7569446153775,433.197176388665,2974.234249228054
ID845,B,2393.839448514998,385.9875331144433,4785.273196602867
ID178,B,2356.0820045204055,412.9244724464826,4697.234735913667
ID673,C,2548.673024227668,412.9306601847861,-2151.2800641535296
ID850,C,3008.082174813447,383.2452605818445,-2613.002035722444
ID892,A,2747.5797638356116,389.7106972513829,6301.677932744487
ID194,A,2298.9741829499503,385.6170083207182,4974.02400945425
ID880,B,2641.111185359365,381.979426899662,5303.545213599764
ID751,B,2791.0670469494576,375.7674550508126,5583.93585123626
ID328,A,2656.759884390909,383.13185615139963,6032.2381197201885
ID976,A,2464.1852788169313,381.2628025430591,5483.506158116973
ID332,C,2510.089862143846,386.5636631311147,-2130.771492388173
ID637,C,2432.0528311298945,398.7187020777372,-2045.990761306778
ID196,C,2531.848638941053,404.1271529741588,-2124.0917698889516
ID325,A,2591.337644318975,417.6884106048562,5690.714300206764
ID192,B,2441.058321512826,352.2343514344092,4871.122776232657
